Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,
"'estee-lauder'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/14/97/70/15149770_25865991_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"'charlotte-tilbury'","'Charlotte Tilbury'","'Discover the newest addition to the Matte Revolution lipstick family with Pillow Talk, a range starring Charlotte Tilbury’s coveted line-up of universally flattering nude shades. Enriched with 3D pigments for intense colour, the formula also features orchid extract which soothes and hydrates for a soft, buildable cashmere look that delivers a professional finish to your daily make-up.
'",Eslam Hosny M.,,"Matte Revolution","Beauty, Make-Up, Lips, Lipsticks",TRUE,https://www.harrods.com/en-bd/shopping/charlotte-tilbury-matte-revolution-15169226,Color,No Colour Available,Size,'OS',,,,,,,deny,manual,'27',,TRUE,TRUE,,https://image.harrods.com/15/16/92/26/15169226_32129783_2048.jpg,1,,FALSE,,,,,,,"Matte Revolution",,,FALSE,,,,,,https://image.harrods.com/15/16/92/26/15169226_32129783_2048.jpg,g,,,active,
"'charlotte-tilbury'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/16/92/26/15169226_32130465_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"'charlotte-tilbury'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/16/92/26/15169226_32129791_2048.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"'charlotte-tilbury'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/16/92/26/15169226_32129798_2048.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"'charlotte-tilbury'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/16/92/26/15169226_32129801_2048.jpg,5,,,,,,,,,,,,,,,,,,,g,,,,
"'estee-lauder'","'Estée Lauder'","'With rich colour in one single stroke, this plumping and moisturising from Estée Lauder offers impeccable pigmentation. The long-lasting formula is perfect for hassle-free makeup days, offering up to eight hours of non-touch up time. This sumptuous lipstick is availble in crème and chrome finishes.
'",Eslam Hosny M.,,"Pure Color Desire Rouge Excess Lipstick","Beauty, Make-Up, Lips, Lipsticks",TRUE,https://www.harrods.com/en-bd/shopping/estee-lauder-pure-color-desire-rouge-excess-lipstick-15190400,Color,No Colour Available,Size,'OS',,,,,,,deny,manual,'35',,TRUE,TRUE,,https://image.harrods.com/15/19/04/00/15190400_32163439_2048.jpg,1,,FALSE,,,,,,,"Pure Color Desire Rouge Excess Lipstick",,,FALSE,,,,,,https://image.harrods.com/15/19/04/00/15190400_32163439_2048.jpg,g,,,active,
"'estee-lauder'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/19/04/00/15190400_32163453_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"'estee-lauder'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/19/04/00/15190400_32163446_2048.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"'hermes'","'HERMÈS'","'A comfortable, hydrating matte lipstick with a second-skin effect. Its velvety, powdery finish delivers intense, long-lasting colour. In high concentration, its pigments release their imprint in a single application.
'",Eslam Hosny M.,,"Rouge Hermès Matte Lipstick","Beauty, Make-Up, Lips, Lipsticks",TRUE,https://www.harrods.com/en-bd/shopping/hermes-rouge-hermes-matte-lipstick-15233335,Color,No Colour Available,Size,'OS',,,,,,,deny,manual,'41',,TRUE,TRUE,,https://image.harrods.com/15/23/33/35/15233335_40514092_2048.jpg,1,,FALSE,,,,,,,"Rouge Hermès Matte Lipstick",,,FALSE,,,,,,https://image.harrods.com/15/23/33/35/15233335_40514092_2048.jpg,g,,,active,
